Наименование товара;Средний рейтинг;Остаток на складе;Продажи;В избранном
Водонепроницаемый силиконовый коврик для домашних животных (собак и кошек), подстилка для корма, коврик для миски или поилки, подставка для кормления собак, легко моется.;4,8;59970;18;9
Паровая щетка для кошек, паровая щетка для собак, электрический распылитель 3 в 1, щетка для массажа шерсти кошек, расческа для груминга домашних животных, расческа для удаления шерсти.;4,8;145;70;103
2/3 шт. игрушки-узлы для собак и кошек, жевательные игрушки для собак в форме морковки, игрушки из хлопковой веревки для домашних собак, игрушки для кошек;4,7;191;8;4
Двусторонняя дверца для домашних животных (кошек и собак), обеспечивающая свободный доступ, подходит для установки на стеклянные и деревянные двери.;4,3;602;5;153
Диспенсер для мусорных пакетов, фонарик, держатель для собачьих экскрементов, принадлежности для сбора мусора, поводок для выгула собак на открытом воздухе.;4,7;16;2;5
Зимняя теплая мягкая лежанка-диван для собак, зимнее гнездо, корзинки для щенков, коврик, будка для крупных, средних и маленьких собак, аксессуары и принадлежности для животных.;4,0;21;23;946
Диспенсер для биоразлагаемых пакетов для собачьих экскрементов со светодиодной подсветкой, держатель для пакетов, набор пакетов для уборки за собаками и домашними животными. Аксессуары для уборки.;5,0;8;4;5
Электрошоковый ошейник для собак - тренировочный ошейник для собак (8-140 фунтов) с вибрацией, электрическим разрядом, звуковым сигналом, перезаряжаемый и водонепроницаемый.;5,0;39990;9;45
Мягкая игрушка для домашних животных в виде пентаграммы со звуковым эффектом. Игрушки для собак и кошек. Товары для животных.;4,9;327;134;61
Диспенсер для пакетов для собачьих экскрементов со светодиодной подсветкой, держатель для одноразовых мусорных пакетов для собак и кошек, аксессуары для уборки на открытом воздухе.;5,0;35;2;3
Автоматическая кормушка для кошек и собак, поилка с подставкой, двойная миска для кошек и собак.;3,7;3933;45;15
Автоматический поилка для кошек с интеллектуальной системой подачи воды и светодиодной подсветкой, заряжается через USB. Электрическая поилка для домашних животных.;4,7;39987;13;8
Кошачий домик-дерево высотой 51 дюйм с гамаком и когтеточкой.;4,7;6;9;42
Портативный многофункциональный мешок для дрессировки собак, сумка для путешествий на открытом воздухе, прочные аксессуары для домашних животных, мешочек для лакомств и уборки экскрементов для собак.;4,9;258;333;598
Игрушки для маленьких собак из резины, устойчивые к укусам, игрушки для чистки зубов, жевательные игрушки для дрессировки, товары для щенков.;4,6;59;349;159
Умная дверца-откидная дверь для собак и кошек с 4-позиционным замком, изготовлена ​​из ABS-пластика, управляется переключателем направления, размеры S/M/L/XL, 5 цветов.;4,7;2;0;12
Охлаждающий коврик для собак, летняя подстилка, лежанка для домашних животных, одеяло для кошек, диван, дышащий, летний, моющийся, аксессуары для домашних животных.;4,5;37;332;388
6  пищащих латексных мячиков-пищалок, резиновых игрушек-пищалок для собак маленьких пород, интерактивные товары для домашних животных, аксессуары для собак.;4,8;20;262;196
Мягкие плюшевые диваны-кровати для кошек и собак, моющиеся, теплые, уютные, для питомцев, для собак и кошек, утолщенные, удобные подушки для кошек, спальные места для собак, мебель для кошек.;4,7;4000;0;1
Управляемая дверца для входа и выхода для домашних животных, защитная дверца для кошек, принадлежности для домашних животных, размер S, коричневый.;4,7;9;0;0
Щетка 3-в-1 для шерсти собак, кошек, электрощетка для чистки шерсти домашних животных, щетка с паровым распылителем, массажная расческа для удаления шерсти, щетка против разлета шерсти.;4,7;18;500;202
1 шт. Игрушка-дразнилка с перьями для котят. Забавная красочная палочка-палочка для кошек. Деревянные игрушки для домашних животных. Интерактивная палочка для кошек. Товары для домашних животных.;4,8;266;448;1932
Забавные игрушки для собак с функцией записи, портативные говорящие игрушки для домашних животных, кнопки для общения с питомцами, милые товары для общения с животными.;4,8;516;2000;1802
120 рулонов пакетов для собачьих экскрементов, пакеты для уборки экскрементов на открытом воздухе, товары для домашних животных, 15 пакетов/рулон, сменные мусорные пакеты, товары для животных;4,7;269415;900;284
20 шт. вешалок для одежды для животных, пластиковые вешалки для одежды.;4,7;4;6;2
Интерактивная игрушка для кошек на дистанционном управлении, «умный» автомобиль, автоматическое движение, игрушка для кошек, которая поможет справиться со скукой. Веселая игрушка для кошек.;4,7;7970;9;16
Портативная складная миска для домашних животных, силиконовые кормушки с крючком для подвешивания, товары для животных, корм для собак и кошек.;4,7;1018;418;141
Тройная кормушка для кошек и собак, 2-в-1 миски с автоматической поилкой, наклонная и вращающаяся конструкция для кошек и собак.;4,6;38;320;444
Интерактивный мяч-игрушка для кошек, автоматический вращающийся на 360° самокатящийся мяч с USB-зарядкой, игрушка для тренировок и погони для кошек.;4,7;1189;3000;4249
Очень большая плюшевая будка для собак в виде ягненка с уютной лежанкой, мягким ковриком и съемной подушкой - популярный товар для домашних животных, лежанка для кошек.;4,7;1400;0;1
Складная силиконовая миска для собак и домашних животных объемом 350 мл, портативный контейнер для корма щенков для путешествий и отдыха на природе. Посуда для кормления домашних животных.;4,9;59192;600;235
Расческа для удаления шерсти собак и кошек. Расческа для ухода за шерстью домашних животных (длинная и короткая шерсть). Щетка для стрижки и распутывания колтунов. Инструменты для груминга собак и других домашних животных.;4,9;482;2000;663
Интерактивные игрушки для кошек в виде имитации птицы: электрический подвесной орел, летающая птица, игрушка-дразнилка для кошек, палочка для кошек, когтеточка, веревка для домашних животных.;4,3;74;2000;2681
Забавные игрушки для домашних животных, милые мультяшные плюшевые игрушки, устойчивые к укусам, жевательные игрушки для кошек и собак, интерактивные товары для домашних животных, помощник для питомца.;4,7;209;16;9
Большая квадратная плюшевая лежанка для кошек и собак, летняя моющаяся водонепроницаемая подстилка для кошек, подушка для животных, товары для средних и крупных собак.;4,4;234;1000;1331
Новые игрушки для кошек: милые плюшевые рыбки, имитация карася, подходят для домашних животных.;4,7;7999;1;0
Щетка для мытья собак (80 мл), массажная расческа для кошек, щетка для груминга и купания, мягкая силиконовая резина.;4,8;184;1000;1004
Игрушки для кошек, мятные рыбки, палочка для дразнения кошек, кошка Мого Леди Киттер, кукла для самоудовлетворения, марионетка, котенок, товары для домашних животных.;4,7;7997;1;1
Интерактивный мяч для кошек, умные игрушки для кошек и собак, электронная интерактивная игрушка для кошек, автоматический катящийся волшебный мяч для игр в помещении, аксессуары для кошек.;4,3;4475;10000;7463
Супермягкая зубная щетка-палец для домашних животных, щетка для собак, средство от неприятного запаха изо рта, зубного камня, для ухода за зубами, силиконовый гель для чистки зубов собак и кошек. Товары для животных.;4,8;10342;10000;6480
Игрушка для собак, завязывающаяся на хлопковой веревке, устойчивая к укусам, для маленьких собак и щенков, снимает заложенность носа, чистит зубы, игрушка для жевания.;4,3;102;1000;695
1 шт. Регулируемый ремень безопасности для собак и кошек в автомобиле, подходит для маленьких и средних собак. Товары для путешествий с домашними животными.;4,8;100;900;212
Расческа для удаления шерсти кошек, щетка для груминга собак, инструменты для вычесывания шерсти, триммер для вычесывания шерсти щенков, стрижка шерсти животных, расчески для удаления колтунов и вычесывания шерсти.;4,8;142;2000;700
DownyPaws 4000mAh — умный очиститель воздуха для кошачьего туалета, дезодорант для кошачьего туалета.;4,7;530;5000;14261
Ошейник против лая для домашних животных - Звуковой ошейник для собак - Ошейник для дрессировки собак - Товары для дрессировки домашних животных;4,7;989;1;1
Игрушки для собак из натурального каучука, жевательные игрушки для собак, мячик для чистки зубов, лакомство, сверхпрочный интерактивный эластичный мячик 5 см для товаров для животных.;4,7;183;117;20
Пакеты для собачьих экскрементов, пакеты для уборки экскрементов на открытом воздухе, товары для домашних животных, 15 пакетов/рулон, сменные мусорные пакеты, товары для животных.;4,7;1998;1;0
Паровая щетка для кошек и собак, массажная расческа с паровым распылением, средство для удаления шерсти 3 в 1, аксессуары для груминга домашних животных.;4,7;1938;4000;3458
Защитный ремень безопасности для собак в автомобиле, аксессуары для путешествий с домашними животными, поводок-ошейник для собак с отстегивающимся креплением, прочная автомобильная шлейка.;4,7;1158;10000;6097
Выпущен в 2023 году. Ультразвуковой отпугиватель для собак, устройство для дрессировки собак, перезаряжаемое, отпугивающее собак от лая, со светодиодным фонариком.;4,8;65;95;131
Новая популярная игрушка для собак: пищащая плюшевая игрушка для всех щенков, забавная, прочная, для жевания, милая игрушка для питомцев.;4,8;27;312;226
Биоразлагаемые пакеты для уборки собачьих экскрементов (15 пакетов/рулон) для щенков и кошек. Рулоны пакетов для уборки экскрементов на открытом воздухе.;4,8;8914;500;121
Складной туннель для кошек, товары для домашних животных, игровой туннель для кошек, дышащая игрушка для кошек, сверло для дома, громкая бумага;5,0;383;466;452
Игрушки для собак больших и маленьких размеров: интерактивные игрушки из хлопковой веревки, мини-игрушки для собак, мяч для собак, аксессуары для собак, зубная щетка, жевательная игрушка для щенков.;4,7;152;500;202
Игрушка для дрессировки кошек: плюшевая подушка в виде рыбки, 20 см, имитация рыбки, интерактивная игрушка-рыбка для кошек, товары для животных.;4,8;468;1000;544
Плюшевые игрушки-дразнилки для кошек, палочка-дразнилка для кошек, интерактивные игрушки для кошек, забавная ленточная палочка с колокольчиком, товары для кошек, аксессуары для кошек.;5,0;120;354;309
Домик-кровать для кошек, будка-гнездо, круглая спальная пещера для домашних животных, лежанки для котят, корзинка для питомцев, уютная подушка-шезлонг для котят, домик-палатка для кошек, домик для собак.;4,7;29740;304;263
Шлейка для собак, предотвращающая рывки, с 2 зажимами для поводка, регулируемый мягкий жилет с подкладкой, черная.;4,6;49;375;250
Перчатки для массажа ванны, щетка для щенков и больших собак/кошек, мягкие защитные силиконовые аксессуары для домашних животных (собак и кошек), инструменты Mascotas Products.;4,8;1332;10000;14203
Интерактивная забавная игрушка-птичка для кошек, имитирующая птичку, с пушистым пером и колокольчиком на присоске. Аксессуары для игр с котятами и другими домашними животными.;4,7;5586;1000;2505
1 шт. Уличный тренировочный свисток для собак, отпугиватель для домашних животных, свисток против лая для дрессировки собак, флейта для дрессировки домашних животных, товары для собак и аксессуары для домашних животных;4,1;183;316;261
Электрошоковый ошейник-кольцо для дрессировки собак, водонепроницаемый, предназначен для дрессировки животных.;5,0;3972;29;9
Мяч для игр на открытом воздухе, тренировочная игрушка для собак, толстый резиновый мяч из ТПУ для зубов, интерактивная игрушка для собак мелких и крупных пород.;5,0;320;13;91
Складная силиконовая миска для корма и воды для собак, для кемпинга, путешествий, портативная, складная, с карабином.;4,8;1736;1000;2478
Игрушка-зубная щетка для собак среднего и крупного размера, интерактивная игрушка-кость для жевания, устойчивая к укусам, для чистки зубов лабрадоров и биглей.;4,7;153;3;2
Спрей для чистки зубов и освежения дыхания для домашних животных, от неприятного запаха изо рта у собак и зубного камня, товары для животных, средство для удаления зубного камня из полости рта, свежий спрей для котят и кошек Pr H9F1;4,7;92;1;0
Набор игрушек для котят - комбинированный набор игрушек для кошек, забавная палочка для кошек, сизалевая мышка, колокольчик, мячик, товары для кошек.;4,9;126;1000;1221
Паровая щетка для собак, электрическая щетка-распылитель для кошачьей шерсти, щетка-пароочиститель 3 в 1 для массажа и ухода за домашними животными, удаления спутанной и выпавшей шерсти.;4,6;16105;3000;2384
Щетка для купания домашних животных, мягкий силиконовый массажер, гель для душа, щетка для купания, инструменты для чистки, расческа, чистящие средства для щенков, больших собак и кошек.;4,8;716;83;6
Высококачественные биоразлагаемые пакеты для игрушек для собак, диспенсер для пакетов для уборки дома на открытом воздухе, 15 пакетов в рулоне, 9 рулонов, 16 рулонов, 32 рулона;4,8;2934;170;137
Нейлоновый светодиодный светящийся в темноте поводок для собак, обеспечивающий безопасность в ночное время. Светящийся флуоресцентный ошейник для домашних животных.;4,5;4858;5000;5338
Забор для собак из инновационной сетки для безопасного содержания домашних животных в помещении и на открытом воздухе. Защитный забор для собак, товары для животных, детские защитные ворота.;3,7;328;600;3156
Игрушка для кошек из фетра с помпонами, деформируемый туннель для котенка, складной трубчатый домик-туннель, интерактивный домик для питомца (кошки), датчик безопасности.;4,5;196431;500;8096
Сумка для корма для домашних животных с вращающимся карабином, для щенков, портативная сумка для лакомств для собак, тактическая, прочная, легкая.;4,7;58;1;1
Ошейник от блох и клещей для собак, регулируемый ошейник для защиты домашних животных до 8 месяцев, подходит для крупных собак, щенков и кошек, аксессуары для собак.;4,7;2595;3000;912
Крючок для удаления блох, пинцет для удаления клещей, аксессуары для кошек и собак, щипцы для удаления клещей, расческа для удаления вшей, плоскогубцы.;4,7;61;360;304
Игрушка для собак: мячик-качалка, мячик для кормления с протечкой, эллиптическая дорожка, катящийся мячик, медленное кормление, защита желудка, повышение интеллекта, товары для животных.;4,7;4;1000;1693
"2 упаковки очень больших многоразовых ковриков для собак для пола и клетки, 48""x48"" - серые.";4,7;9;0;0
Уличная будка для собаки размером 7,5 x 7,5 x 5,6 футов с крышей и миской, большой забор для собачьей будки с боковыми перилами, прочная будка из сетки-рабицы.;5,0;18;8;35
Флакон 10 мл, 60 влажных салфеток для домашних животных: для собак и кошек, для удаления слез из глаз и ушей, круглые салфетки для груминга. Товары для животных.;4,7;1;1;3
Электрощетка для собак с функцией паровой обработки, электрическая щетка для кошачьей шерсти, волшебная массажная расческа, средство для удаления шерсти 3 в 1, принадлежности для груминга домашних животных.;4,7;1375;28;16
Перчатки-щетка для массажа и купания щенков, собак и кошек, мягкие, безопасные, силиконовые аксессуары для домашних животных (собак и кошек), инструменты Mascotas Products.;4,7;40115;3000;3047
Игрушка для жевания для собак: хлопковые тапочки, веревочная игрушка для маленьких и больших собак, игрушка для тренировки зубов, интерактивная игрушка для собак, аксессуары для собак.;4,4;26;211;131
Педаль для кошачьего туалета, водонепроницаемый коврик для кошачьего туалета, нескользящее судно для животных, чистящая подстилка, моющийся коврик для кошачьего туалета, принадлежности для кошачьего туалета;4,0;9;4;6
Гамак для кошек весом 20 кг, подвесная лежанка для кошек, удобное сиденье у окна, альпинистская конструкция для котят, аксессуары для домашних животных.;4,7;223;1000;1314
Подогреваемая лежанка для кошек Thermo-Pet Cave от Pet Products;4,7;120;0;2
Светоотражающая регулируемая дышащая шлейка для собак, жилет с нагрудным ремнем для маленьких, средних и больших собак, кошек и щенков, ошейник для собак.;4,7;7007;800;876
Забавная игрушка для собак без наполнителя, с пищалками, прочная плюшевая игрушка для жевания, шуршащая игрушка для домашних животных. Товары для животных.;4,8;305;1000;659
Супермягкая зубная щетка для домашних животных, которую можно брать в руки, для ухода за зубами, при неприятном запахе изо рта и зубном камне. Принадлежности для собак и домашних животных. Cepillo Para Perro;4,7;2156;1000;835
Игрушка для собак HOOPET: шесть теннисных мячей, устойчивых к укусам, плюшевый мишка для дрессировки щенков, товары для животных.;4,9;21;293;463
Интерактивные игрушки для собак: мягкие игрушки из термопластичной резины (TPR) для чистки зубов домашних животных, игрушки-пищалки с сопротивлением укусам.;4,7;3329;10000;4246
scgk прыгающее яйцо Игрушка для собак Забавный мячик Пищащее латексное прыгающее яйцо с пищалкой для щенков и маленьких собак Мягкая резина Звук;4,9;44;248;241
Мяч для кормления с негерметичным корпусом, странным звуком лая, скрежетом зубов, устойчивостью к укусам, голосовыми эффектами, развивающий мяч среднего размера, товары для животных.;4,6;95;384;219
1 шт., Охлаждающий коврик для собак, Охлаждающая подстилка для домашних животных, Летний охлаждающий коврик для собак и кошек, Самоохлаждающийся коврик для собак, Товары для животных;4,0;393;7;11
Шлейки для собак, веревочные ошейники для щенков, жилеты, светоотражающие и дышащие, регулируемые, товары для прогулок на открытом воздухе, товары для домашних животных.;4,9;2857;600;429
Инструмент для уборки экскрементов домашних животных: совок для кошачьего наполнителя из металлического алюминиевого сплава, прочная ручка из нержавеющей стали.;4,7;532;2000;3362
Электрический пылесос для уборки шерсти животных Yellow Duck, зарядка через USB, автоматический дозатор мыла для кошек, электрическая уборка пузырьками, аксессуары для животных;5,0;70;52;41
Светоотражающая шлейка для собак маленьких и средних размеров, кошек, дышащая сетчатая, регулируемая, для чихуахуа и мопсов. Товары для животных.;4,7;341;10;3
Мягкие плюшевые коврики для кошек, маленькие собачки, милые подстилки для питомцев, теплые подушки для котят, аксессуары для кошек.;4,8;573;2000;5223
Интерактивные игрушки для кошек с перьями, забавная игрушка-дразнилка для домашних животных, интерактивные игрушки для кошек, игрушка-дразнилка для кошек с перьями, вращающийся мяч.;4,9;49872;163;1365
Намордник для щенков и крупных собак, предотвращающий лай, регулируемый, с сетчатыми, дышащими и мягкими ремнями, защищающими пасть питомца. Товары для собак.;4,4;143;1000;654
Мягкая игрушка для собак, забавные и прочные жевательные зубы для всех видов питомцев, предназначенная для щенков.;4,3;151;268;159
Премиальная войлочная лежанка-берлога для кошек и котят — изготовлена ​​вручную из 100% мериносовой шерсти.;4,7;240;0;1
Аппликатор для таблеток для домашних животных, шприц для кошек и собак, кормушка для лекарств, средства от насекомых, зажим для банок с таблетками, поилка для кошек и собак.;4,8;26;900;591
Портативный поилка для собак и кошек, складная миска для питья для походов и прогулок, товары для французских бульдогов.;4,7;1662;3;1
Игрушка для кошек: перьевая палочка-дразнилка, интерактивная игрушка для кошек, забавная гусеница, разноцветная палочка-дразнилка, товары для домашних животных, аксессуары для кошек.;4,8;256;800;1017
Игрушка-рыбка для кошек, 20 см, мягкая когтеточка, игрушка для кошек, товары для домашних животных.;5,0;2481;195;108
3 размера. Милый теплый коврик-покрывало для домашних животных, ручной работы, из флиса, для кошек и собак маленьких, средних и больших собак. Товары для щенков и домашних животных.;4,6;1266;3000;2850
1 шт. Жевательная игрушка для домашних животных из мягкой резины, устойчивая к укусам, в форме косточки, игрушка для жевания, предназначенная для дрессировки маленьких собак. Товары для дрессировки домашних животных.;4,7;38;11;6
10 шт. галстуков для собак, маленькие аксессуары для собак Gromoong, галстуки-бабочки для домашних животных, галстуки-бабочки для маленьких собак и щенков. Товары для маленьких собак.;4,8;82;431;266
Интерактивная игрушечная машинка для кошек, мячик-игрушка с автоматическим вращением и дистанционным управлением, аксессуары для кошек и котят, товары для дома.;5,0;7949;43;69
Товары для животных: Щетка для удаления выпавшей шерсти, блох и вшей, расческа из нержавеющей стали, средства от глистов, расческа для распутывания узлов, груминг для собак и кошек.;4,8;68;282;217
Многофункциональная паровая щетка для кошек, новинка 2024 года, электрическая паровая щетка 3 в 1 для чистки собак, массажа и удаления шерсти животных.;5,0;52;12;41
Натуральный мячик с кошачьей мятой, вращающийся на стену, приклеивающийся к стене, игрушка-мячик, которую можно лизать, лакомство для здоровой чистки зубов, жевательные игрушки для котят, товары для животных.;4,7;100;16;3
Игрушки для собак: летающий диск для дрессировки домашних животных, кольцо-дергатель, интерактивные плавающие игрушки против укусов, игрушки для собак, предотвращающие агрессивное жевание.;4,5;33;800;228
Коврик для кошачьего туалета, водонепроницаемый, двухслойный, нескользящий, песочного цвета, моющийся, для кошек, чистящая подстилка, принадлежности для уборки за животными.;4,6;24274;1000;1066
Профессиональная щетка для вычесывания шерсти домашних животных, двусторонняя расческа для распутывания колтунов, щетка для кошек, грабли для груминга щенков, инструменты для удаления подшерстка и летающей шерсти.;4,8;1403;1000;5585
20 шт. аксессуаров для собак: галстуки-бабочки для собак, ошейники с бантиками, галстуки-бабочки для собак, товары для маленьких собак и кошек, модные аксессуары для собак.;4,9;103;600;469
Дрессировочный ошейник для собак, водонепроницаемый, с перезаряжаемым аккумулятором и пультом дистанционного управления, электрический ошейник для собак, радиус действия 800 м.;4,5;1018;263;2523
